snapshot_id,vendor_id,vendor_name,month,month_index,relationship_arc,price_index,on_time_delivery_rate,response_rate,quality_score,n_rfqs_invited,n_rfqs_responded,n_bids_submitted,n_pos_won,win_rate_6mo,capacity_utilization,defect_rate_ppm,payment_pct_on_time,payment_avg_days_late
VP-V001-202401,V001,Kovacs Precision GmbH,2024-01-01,0,declining,0.919,0.943,0.949,9.26,1,1,1,0,0.0,70.6,190.0,,
VP-V002-202401,V002,Tanaka Electrical KK,2024-01-01,0,stable,1.044,0.933,0.857,9.01,8,6,6,0,0.0,80.8,239.0,,
VP-V003-202401,V003,Patel Alloys Pvt Ltd,2024-01-01,0,improving,0.955,0.877,0.748,7.85,1,1,1,0,0.0,64.7,429.0,,
VP-V004-202401,V004,Strömberg Hydraulics AB,2024-01-01,0,stable,1.057,0.973,0.885,9.36,1,1,1,0,0.0,64.9,218.0,,
VP-V005-202401,V005,Cerro Negro Metals SA,2024-01-01,0,stable,0.827,0.805,0.884,7.15,1,1,1,0,0.0,80.2,392.0,,
VP-V006-202401,V006,Bright Spark Electronics Ltd,2024-01-01,0,stable,0.977,0.333,0.708,7.0,8,6,6,3,0.375,88.0,331.0,0.333,5.3
VP-V007-202401,V007,Nakamura Tooling Co.,2024-01-01,0,stable,1.032,0.922,0.873,9.05,1,1,1,0,0.0,65.1,211.0,,
VP-V008-202401,V008,Delta Composites Inc.,2024-01-01,0,stable,0.9,0.817,0.761,7.37,1,1,1,0,0.0,81.6,428.0,,
VP-V009-202401,V009,Fischer & Söhne KG,2024-01-01,0,stable,1.003,0.924,0.907,8.92,1,1,1,0,0.0,69.1,281.0,,
VP-V010-202401,V010,Adriatic Fastenings d.o.o.,2024-01-01,0,stable,0.875,0.797,0.813,7.15,1,1,1,0,0.0,82.3,323.0,,
VP-V011-202401,V011,Solaris Power Components,2024-01-01,0,stable,0.982,0.761,0.642,6.93,8,5,5,0,0.0,89.5,479.0,,
VP-V012-202401,V012,Indra Copper Works,2024-01-01,0,improving,0.926,1.0,0.796,8.26,1,1,1,1,1.0,55.9,299.0,0.0,1.0
VP-V013-202401,V013,Vantage Sensors GmbH,2024-01-01,0,stable,1.008,1.0,0.838,8.82,8,7,7,3,0.375,68.3,418.0,0.667,1.3
VP-V014-202401,V014,Coastal Alloys Pty Ltd,2024-01-01,0,stable,0.948,0.848,0.791,8.05,1,1,1,0,0.0,84.3,296.0,,
VP-V015-202401,V015,Nordic Steel AS,2024-01-01,0,stable,0.991,0.941,0.879,9.17,1,1,1,0,0.0,67.6,162.0,,
VP-V016-202401,V016,Precision Arc Systems,2024-01-01,0,stable,0.904,0.5,0.608,6.88,8,6,6,2,0.25,95.2,261.0,1.0,0.0
VP-V017-202401,V017,Türk Makina A.Ş.,2024-01-01,0,stable,0.849,0.795,0.811,7.31,1,1,1,0,0.0,85.8,209.0,,
VP-V018-202401,V018,Guangzhou Mech & Elec Co.,2024-01-01,0,collapse,0.802,0.737,0.755,6.63,8,8,8,0,0.0,89.5,299.0,,
VP-V019-202401,V019,Emerald Isle Castings Ltd,2024-01-01,0,stable,1.013,1.0,0.897,8.65,1,1,1,1,1.0,62.8,140.0,1.0,0.0
VP-V020-202401,V020,Rajasthan Rare Earths Ltd,2024-01-01,0,improving,0.94,0.854,0.749,7.84,1,1,1,0,0.0,74.8,331.0,,
VP-V001-202402,V001,Kovacs Precision GmbH,2024-02-01,1,declining,0.929,0.956,0.931,9.07,2,2,2,0,0.0,69.5,279.0,,
VP-V002-202402,V002,Tanaka Electrical KK,2024-02-01,1,stable,1.013,0.667,0.788,8.9,6,6,6,3,0.214,82.9,440.0,1.0,0.0
VP-V003-202402,V003,Patel Alloys Pvt Ltd,2024-02-01,1,improving,0.951,0.849,0.788,7.54,2,1,1,0,0.0,62.6,293.0,,
VP-V004-202402,V004,Strömberg Hydraulics AB,2024-02-01,1,stable,1.07,1.0,0.898,9.24,2,2,2,1,0.333,70.2,110.0,1.0,0.0
VP-V005-202402,V005,Cerro Negro Metals SA,2024-02-01,1,stable,0.818,1.0,0.901,7.6,2,2,2,1,0.333,81.3,407.0,1.0,0.0
VP-V006-202402,V006,Bright Spark Electronics Ltd,2024-02-01,1,stable,0.982,0.753,0.699,7.4,6,4,4,0,0.214,84.2,179.0,,
VP-V007-202402,V007,Nakamura Tooling Co.,2024-02-01,1,stable,1.033,0.952,0.852,8.95,2,1,1,0,0.0,67.9,297.0,,
VP-V008-202402,V008,Delta Composites Inc.,2024-02-01,1,stable,0.866,1.0,0.802,7.33,2,2,2,1,0.333,84.3,506.0,1.0,0.0
VP-V009-202402,V009,Fischer & Söhne KG,2024-02-01,1,stable,1.005,1.0,0.826,9.18,2,2,2,1,0.333,71.7,360.0,1.0,0.0
VP-V010-202402,V010,Adriatic Fastenings d.o.o.,2024-02-01,1,stable,0.861,0.8,0.761,7.1,2,1,1,0,0.0,90.4,345.0,,
VP-V011-202402,V011,Solaris Power Components,2024-02-01,1,stable,0.976,0.707,0.668,7.03,6,5,5,0,0.0,80.3,464.0,,
VP-V012-202402,V012,Indra Copper Works,2024-02-01,1,improving,0.952,0.89,0.707,8.33,2,2,2,0,0.333,71.7,421.0,,
VP-V013-202402,V013,Vantage Sensors GmbH,2024-02-01,1,stable,1.001,1.0,0.842,8.71,6,5,5,2,0.357,66.9,253.0,1.0,0.0
VP-V014-202402,V014,Coastal Alloys Pty Ltd,2024-02-01,1,stable,0.956,0.88,0.821,7.77,2,1,1,0,0.0,75.2,361.0,,
VP-V015-202402,V015,Nordic Steel AS,2024-02-01,1,stable,1.0,0.915,0.812,8.85,2,2,2,0,0.0,67.9,257.0,,
VP-V016-202402,V016,Precision Arc Systems,2024-02-01,1,stable,0.922,0.0,0.63,7.04,6,5,5,1,0.214,88.5,454.0,1.0,0.0
VP-V017-202402,V017,Türk Makina A.Ş.,2024-02-01,1,stable,0.862,0.777,0.803,7.22,2,2,2,0,0.0,87.0,330.0,,
VP-V018-202402,V018,Guangzhou Mech & Elec Co.,2024-02-01,1,collapse,0.767,0.784,0.76,6.21,6,6,6,0,0.0,83.3,613.0,,
VP-V019-202402,V019,Emerald Isle Castings Ltd,2024-02-01,1,stable,1.011,0.899,0.878,8.86,2,2,2,0,0.333,62.1,518.0,,
VP-V020-202402,V020,Rajasthan Rare Earths Ltd,2024-02-01,1,improving,0.945,0.848,0.775,7.7,2,1,1,0,0.0,67.5,549.0,,
VP-V001-202403,V001,Kovacs Precision GmbH,2024-03-01,2,declining,0.921,0.931,0.88,9.01,6,3,3,0,0.0,79.6,249.0,,
VP-V002-202403,V002,Tanaka Electrical KK,2024-03-01,2,stable,1.033,0.919,0.885,9.52,3,2,2,0,0.176,83.1,514.0,,
VP-V003-202403,V003,Patel Alloys Pvt Ltd,2024-03-01,2,improving,0.968,0.832,0.727,7.82,1,1,1,0,0.0,66.9,282.0,,
VP-V004-202403,V004,Strömberg Hydraulics AB,2024-03-01,2,stable,1.068,1.0,0.866,9.22,6,5,5,1,0.222,76.1,240.0,1.0,0.0
VP-V005-202403,V005,Cerro Negro Metals SA,2024-03-01,2,stable,0.845,0.835,0.843,7.59,1,1,1,0,0.25,82.0,332.0,,
VP-V006-202403,V006,Bright Spark Electronics Ltd,2024-03-01,2,stable,0.969,0.756,0.736,7.46,3,1,1,0,0.176,85.1,353.0,,
VP-V007-202403,V007,Nakamura Tooling Co.,2024-03-01,2,stable,1.025,0.872,0.806,9.14,6,6,6,0,0.0,72.9,195.0,,
VP-V008-202403,V008,Delta Composites Inc.,2024-03-01,2,stable,0.897,0.794,0.828,7.59,1,1,1,0,0.25,85.7,486.0,,
VP-V009-202403,V009,Fischer & Söhne KG,2024-03-01,2,stable,1.013,0.951,0.846,9.29,6,5,5,0,0.111,68.8,280.0,,
VP-V010-202403,V010,Adriatic Fastenings d.o.o.,2024-03-01,2,stable,0.876,1.0,0.797,7.56,6,3,3,3,0.333,85.8,405.0,0.667,9.7
VP-V011-202403,V011,Solaris Power Components,2024-03-01,2,stable,0.988,0.74,0.694,6.84,3,2,2,0,0.0,85.4,413.0,,
VP-V012-202403,V012,Indra Copper Works,2024-03-01,2,improving,0.914,0.877,0.812,7.91,1,1,1,0,0.25,63.9,269.0,,
VP-V013-202403,V013,Vantage Sensors GmbH,2024-03-01,2,stable,1.001,0.667,0.879,8.65,3,3,3,3,0.471,66.5,428.0,0.667,1.7
VP-V014-202403,V014,Coastal Alloys Pty Ltd,2024-03-01,2,stable,0.942,0.84,0.792,7.98,1,1,1,0,0.0,73.2,343.0,,
VP-V015-202403,V015,Nordic Steel AS,2024-03-01,2,stable,1.0,1.0,0.898,8.96,1,1,1,1,0.25,63.2,171.0,1.0,0.0
VP-V016-202403,V016,Precision Arc Systems,2024-03-01,2,stable,0.907,0.696,0.665,6.82,3,2,2,0,0.176,82.1,344.0,,
VP-V017-202403,V017,Türk Makina A.Ş.,2024-03-01,2,stable,0.856,1.0,0.771,7.24,6,5,5,1,0.111,82.7,274.0,1.0,0.0
VP-V018-202403,V018,Guangzhou Mech & Elec Co.,2024-03-01,2,collapse,0.769,0.75,0.808,6.43,3,2,2,0,0.0,87.0,444.0,,
VP-V019-202403,V019,Emerald Isle Castings Ltd,2024-03-01,2,stable,1.019,1.0,0.839,8.86,6,4,4,1,0.222,69.5,381.0,0.0,3.0
VP-V020-202403,V020,Rajasthan Rare Earths Ltd,2024-03-01,2,improving,0.94,0.848,0.769,7.68,1,0,0,0,0.0,74.0,418.0,,
VP-V001-202404,V001,Kovacs Precision GmbH,2024-04-01,3,declining,0.911,0.964,0.91,9.17,4,4,4,0,0.0,67.2,357.0,,
VP-V002-202404,V002,Tanaka Electrical KK,2024-04-01,3,stable,1.01,1.0,0.828,9.14,6,4,4,1,0.174,76.9,291.0,1.0,0.0
VP-V003-202404,V003,Patel Alloys Pvt Ltd,2024-04-01,3,improving,0.944,0.873,0.782,8.08,0,0,0,0,0.0,74.3,394.0,,
VP-V004-202404,V004,Strömberg Hydraulics AB,2024-04-01,3,stable,1.051,1.0,0.877,9.16,4,4,4,1,0.231,70.6,397.0,1.0,0.0
VP-V005-202404,V005,Cerro Negro Metals SA,2024-04-01,3,stable,0.845,0.837,0.79,7.85,0,0,0,0,0.25,81.9,454.0,,
VP-V006-202404,V006,Bright Spark Electronics Ltd,2024-04-01,3,stable,0.977,1.0,0.762,6.93,6,6,6,1,0.174,85.0,418.0,1.0,0.0
VP-V007-202404,V007,Nakamura Tooling Co.,2024-04-01,3,stable,1.064,0.933,0.833,9.29,4,4,4,0,0.0,71.8,318.0,,
VP-V008-202404,V008,Delta Composites Inc.,2024-04-01,3,stable,0.881,0.84,0.84,7.49,0,0,0,0,0.25,81.5,548.0,,
VP-V009-202404,V009,Fischer & Söhne KG,2024-04-01,3,stable,1.011,1.0,0.825,8.64,4,3,3,1,0.154,63.6,258.0,1.0,0.0
VP-V010-202404,V010,Adriatic Fastenings d.o.o.,2024-04-01,3,stable,0.882,0.776,0.813,7.58,4,2,2,0,0.231,95.4,322.0,,
VP-V011-202404,V011,Solaris Power Components,2024-04-01,3,stable,0.989,1.0,0.678,6.74,6,5,5,1,0.043,89.2,277.0,0.0,1.0
VP-V012-202404,V012,Indra Copper Works,2024-04-01,3,improving,0.934,0.865,0.778,8.0,0,0,0,0,0.25,69.1,192.0,,
VP-V013-202404,V013,Vantage Sensors GmbH,2024-04-01,3,stable,0.997,0.5,0.855,8.84,6,6,6,2,0.435,72.2,247.0,1.0,0.0
VP-V014-202404,V014,Coastal Alloys Pty Ltd,2024-04-01,3,stable,0.962,0.841,0.791,8.07,0,0,0,0,0.0,72.9,319.0,,
VP-V015-202404,V015,Nordic Steel AS,2024-04-01,3,stable,0.998,0.908,0.867,8.9,0,0,0,0,0.25,67.2,318.0,,
VP-V016-202404,V016,Precision Arc Systems,2024-04-01,3,stable,0.93,1.0,0.626,6.72,6,5,5,1,0.174,92.8,415.0,1.0,0.0
VP-V017-202404,V017,Türk Makina A.Ş.,2024-04-01,3,stable,0.856,1.0,0.793,7.58,4,3,3,1,0.154,76.0,275.0,1.0,0.0
VP-V018-202404,V018,Guangzhou Mech & Elec Co.,2024-04-01,3,collapse,0.786,0.809,0.831,6.4,6,6,6,0,0.0,92.0,408.0,,
VP-V019-202404,V019,Emerald Isle Castings Ltd,2024-04-01,3,stable,1.027,1.0,0.868,8.66,4,4,4,1,0.231,67.7,240.0,0.0,7.0
VP-V020-202404,V020,Rajasthan Rare Earths Ltd,2024-04-01,3,improving,0.933,0.848,0.759,7.32,0,0,0,0,0.0,64.8,420.0,,
VP-V001-202405,V001,Kovacs Precision GmbH,2024-05-01,4,declining,0.91,1.0,0.89,9.38,7,5,5,3,0.15,71.9,90.0,0.667,3.7
VP-V002-202405,V002,Tanaka Electrical KK,2024-05-01,4,stable,1.01,0.887,0.806,9.22,3,3,3,0,0.154,83.3,0.0,,
VP-V003-202405,V003,Patel Alloys Pvt Ltd,2024-05-01,4,improving,0.959,0.906,0.748,7.87,0,0,0,0,0.0,67.1,291.0,,
VP-V004-202405,V004,Strömberg Hydraulics AB,2024-05-01,4,stable,1.036,0.914,0.891,9.05,7,5,5,0,0.15,67.5,93.0,,
VP-V005-202405,V005,Cerro Negro Metals SA,2024-05-01,4,stable,0.814,0.811,0.91,7.77,0,0,0,0,0.25,74.8,439.0,,
VP-V006-202405,V006,Bright Spark Electronics Ltd,2024-05-01,4,stable,0.964,0.79,0.74,7.11,3,1,1,0,0.154,81.8,114.0,,
