email_id,rfq_id,vendor_id,direction,timestamp,from_email,to_email,subject,email_type,body_snippet,bid_amount_usd,delivery_days
EML-00001,RFQ-0001,V018,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,jennifer@guangzhoumeche.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00002,RFQ-0001,V018,inbound,2024-01-24 11:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00003,RFQ-0001,V018,inbound,2024-02-06 15:00:00,jennifer@guangzhoumeche.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Guangzhou Mech & Elec Co.,bid,"Please find our quotation. Unit price USD 445.30. Total USD 179,010.60. Lead time 27 days.",179010.6,27.0
EML-00004,RFQ-0001,V011,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,lisa@solarispowerco.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00005,RFQ-0001,V011,inbound,2024-01-27 11:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0001 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00006,RFQ-0001,V011,inbound,2024-02-05 16:00:00,lisa@solarispowerco.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Solaris Power Components,bid,"Please find our quotation. Unit price USD 399.39. Total USD 160,554.78. Lead time 38 days.",160554.78,38.0
EML-00007,RFQ-0001,V006,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,andrew@brightsparkele.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00008,RFQ-0001,V006,inbound,2024-01-26 11:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0001 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00009,RFQ-0001,V006,inbound,2024-02-03 15:00:00,andrew@brightsparkele.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Bright Spark Electronics Ltd,bid,"Please find our quotation. Unit price USD 430.70. Total USD 173,141.40. Lead time 30 days.",173141.4,30.0
EML-00010,RFQ-0001,V016,outbound,2024-01-23 09:15:00,procurement@meridian-industrial.com,james@precisionarcsy.com,Request for Quotation – RFQ-0001 – Electrical Components,rfq_invite,Please find attached our RFQ RFQ-0001. Bid deadline: 2024-02-06.,,
EML-00011,RFQ-0001,V016,inbound,2024-01-26 16:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: Request for Quotation – RFQ-0001,acknowledgement,Thank you for your RFQ. We will submit our quotation before the deadline.,,
EML-00012,RFQ-0001,V016,inbound,2024-01-27 11:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Re: RFQ RFQ-0001 — Clarification Required,query,Could you clarify item specification on line 1? Specifically tolerance and surface finish.,,
EML-00013,RFQ-0001,V016,inbound,2024-02-06 16:00:00,james@precisionarcsy.com,procurement@meridian-industrial.com,Quotation Submission – RFQ-0001 – Precision Arc Systems,bid,"Please find our quotation. Unit price USD 444.67. Total USD 178,757.34. Lead time 38 days.",178757.34,38.0
