bid_id,rfq_id,vendor_id,vendor_name,bid_date,bid_unit_price,bid_total_usd,delivery_days,validity_days,price_delta_pct,archetype,month_index
BID-RFQ-0001-V018,RFQ-0001,V018,Guangzhou Mech & Elec Co.,2024-02-06,445.3,179010.6,27,30,11.24,aggressive_bidder,0
BID-RFQ-0001-V011,RFQ-0001,V011,Solaris Power Components,2024-02-05,399.39,160554.78,38,30,-0.23,volatile,0
BID-RFQ-0001-V006,RFQ-0001,V006,Bright Spark Electronics Ltd,2024-02-03,430.7,173141.4,30,30,7.59,volatile,0
BID-RFQ-0001-V016,RFQ-0001,V016,Precision Arc Systems,2024-02-06,444.67,178757.34,38,30,11.08,volatile,0
BID-RFQ-0002-V016,RFQ-0002,V016,Precision Arc Systems,2024-02-03,419.36,78839.68,29,30,-16.13,volatile,0
BID-RFQ-0002-V006,RFQ-0002,V006,Bright Spark Electronics Ltd,2024-02-03,467.69,87925.72,51,30,-6.46,volatile,0
BID-RFQ-0002-V018,RFQ-0002,V018,Guangzhou Mech & Elec Co.,2024-02-03,534.09,100408.92,36,30,6.82,aggressive_bidder,0
BID-RFQ-0002-V002,RFQ-0002,V002,Tanaka Electrical KK,2024-02-04,524.39,98585.32,30,30,4.88,conservative,0
BID-RFQ-0002-V013,RFQ-0002,V013,Vantage Sensors GmbH,2024-02-06,525.85,98859.8,43,30,5.17,conservative,0
BID-RFQ-0003-V003,RFQ-0003,V003,Patel Alloys Pvt Ltd,2024-02-01,116.18,17891.72,19,30,-2.85,relationship_focused,0
BID-RFQ-0003-V015,RFQ-0003,V015,Nordic Steel AS,2024-01-30,114.45,17625.3,28,30,-4.3,reliable,0
BID-RFQ-0003-V012,RFQ-0003,V012,Indra Copper Works,2024-01-31,117.0,18018.0,10,30,-2.16,reliable,0
BID-RFQ-0003-V014,RFQ-0003,V014,Coastal Alloys Pty Ltd,2024-01-30,113.93,17545.22,25,30,-4.73,relationship_focused,0
BID-RFQ-0003-V008,RFQ-0003,V008,Delta Composites Inc.,2024-02-02,101.17,15580.18,25,30,-15.4,aggressive_bidder,0
BID-RFQ-0003-V020,RFQ-0003,V020,Rajasthan Rare Earths Ltd,2024-02-01,115.08,17722.32,13,30,-3.77,relationship_focused,0
