eval_id,rfq_id,vendor_id,vendor_name,bid_total_usd,delivery_days,price_score,delivery_score,quality_score,relationship_score,composite_score,selected,month_index,awarded
EVAL-RFQ-0001-V006,RFQ-0001,V006,Bright Spark Electronics Ltd,173141.4,30,3.28,90.0,72.0,61.0,48.81,True,0,True
EVAL-RFQ-0001-V018,RFQ-0001,V018,Guangzhou Mech & Elec Co.,179010.6,27,0.0,100.0,65.0,54.0,48.4,True,0,False
EVAL-RFQ-0001-V011,RFQ-0001,V011,Solaris Power Components,160554.78,38,10.31,71.05,70.0,54.0,44.84,True,0,False
EVAL-RFQ-0001-V016,RFQ-0001,V016,Precision Arc Systems,178757.34,38,0.14,71.05,68.0,54.0,40.37,True,0,False
EVAL-RFQ-0002-V016,RFQ-0002,V016,Precision Arc Systems,78839.68,29,21.48,100.0,68.0,54.0,57.59,True,0,True
EVAL-RFQ-0002-V002,RFQ-0002,V002,Tanaka Electrical KK,98585.32,30,1.82,96.67,90.0,89.0,56.63,True,0,False
EVAL-RFQ-0002-V013,RFQ-0002,V013,Vantage Sensors GmbH,98859.8,43,1.54,67.44,88.0,89.0,47.35,True,0,False
EVAL-RFQ-0002-V018,RFQ-0002,V018,Guangzhou Mech & Elec Co.,100408.92,36,0.0,80.56,65.0,54.0,42.57,True,0,False
EVAL-RFQ-0002-V006,RFQ-0002,V006,Bright Spark Electronics Ltd,87925.72,51,12.43,56.86,72.0,61.0,42.53,True,0,False
EVAL-RFQ-0003-V012,RFQ-0003,V012,Indra Copper Works,18018.0,10,0.0,100.0,81.0,82.0,54.4,True,0,True
EVAL-RFQ-0003-V005,RFQ-0003,V005,Cerro Negro Metals SA,16277.8,13,9.66,76.92,75.0,68.0,48.74,True,0,False
EVAL-RFQ-0003-V020,RFQ-0003,V020,Rajasthan Rare Earths Ltd,17722.32,13,1.64,76.92,76.0,61.0,45.03,True,0,False
EVAL-RFQ-0003-V015,RFQ-0003,V015,Nordic Steel AS,17625.3,28,2.18,35.71,90.0,100.0,39.59,True,0,False
EVAL-RFQ-0003-V008,RFQ-0003,V008,Delta Composites Inc.,15580.18,25,13.53,40.0,76.0,68.0,39.41,True,0,False
EVAL-RFQ-0003-V003,RFQ-0003,V003,Patel Alloys Pvt Ltd,17891.72,19,0.7,52.63,78.0,75.0,39.17,False,0,False
EVAL-RFQ-0003-V014,RFQ-0003,V014,Coastal Alloys Pty Ltd,17545.22,25,2.62,40.0,79.0,68.0,35.65,False,0,False
EVAL-RFQ-0004-V006,RFQ-0004,V006,Bright Spark Electronics Ltd,92821.16,28,18.95,100.0,72.0,61.0,58.08,True,0,True
EVAL-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,108909.28,40,4.9,70.0,90.0,89.0,49.86,True,0,False
EVAL-RFQ-0004-V013,RFQ-0004,V013,Vantage Sensors GmbH,109677.46,39,4.23,71.79,88.0,89.0,49.73,True,0,False
EVAL-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,114520.18,43,0.0,65.12,65.0,54.0,37.93,True,0,False
EVAL-RFQ-0005-V016,RFQ-0005,V016,Precision Arc Systems,2116.33,22,17.92,100.0,68.0,54.0,56.17,True,0,True
EVAL-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,2321.0,31,9.98,70.97,88.0,89.0,51.78,True,0,False
EVAL-RFQ-0005-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,2578.42,26,0.0,84.62,72.0,61.0,45.88,True,0,False
EVAL-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,2099.45,36,18.58,61.11,70.0,54.0,45.16,True,0,False
EVAL-RFQ-0005-V002,RFQ-0005,V002,Tanaka Electrical KK,2302.01,49,10.72,44.9,90.0,89.0,44.66,True,0,False
EVAL-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2430.72,31,5.73,70.97,65.0,54.0,41.98,False,0,False
EVAL-RFQ-0006-V013,RFQ-0006,V013,Vantage Sensors GmbH,36295.6,27,9.34,100.0,88.0,89.0,60.23,True,0,True
EVAL-RFQ-0006-V002,RFQ-0006,V002,Tanaka Electrical KK,34896.66,45,12.83,60.0,90.0,89.0,50.03,True,0,False
EVAL-RFQ-0006-V018,RFQ-0006,V018,Guangzhou Mech & Elec Co.,37674.2,39,5.89,69.23,65.0,54.0,41.53,True,0,False
EVAL-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,40033.64,48,0.0,56.25,70.0,54.0,36.28,True,0,False
EVAL-RFQ-0007-V013,RFQ-0007,V013,Vantage Sensors GmbH,24132.6,16,8.87,100.0,88.0,89.0,60.05,True,0,True
EVAL-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,24101.44,23,8.99,69.57,90.0,89.0,51.37,True,0,False
EVAL-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,21229.8,29,19.84,55.17,70.0,54.0,43.89,True,0,False
EVAL-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,26482.72,19,0.0,84.21,65.0,54.0,43.66,True,0,False
