delivery_id,po_id,vendor_id,promised_date,actual_date,days_late,on_time,condition,quality_issue,invoice_value_usd,month_index
DEL-PO-RFQ-0001-V006,PO-RFQ-0001-V006,V006,2024-02-06,2024-02-06,0,True,accepted,False,169714.01,0
DEL-PO-RFQ-0002-V016,PO-RFQ-0002-V016,V016,2024-02-07,2024-02-07,0,True,accepted,False,77694.5,0
DEL-PO-RFQ-0003-V012,PO-RFQ-0003-V012,V012,2024-01-15,2024-01-15,0,True,accepted,False,18362.88,0
DEL-PO-RFQ-0004-V006,PO-RFQ-0004-V006,V006,2024-02-07,2024-02-08,1,False,rejected,False,93611.72,0
DEL-PO-RFQ-0005-V016,PO-RFQ-0005-V016,V016,2024-02-01,2024-02-10,9,False,rejected,False,2100.59,0
DEL-PO-RFQ-0006-V013,PO-RFQ-0006-V013,V013,2024-02-05,2024-02-05,0,True,accepted,False,36051.14,0
DEL-PO-RFQ-0007-V013,PO-RFQ-0007-V013,V013,2024-01-25,2024-01-25,0,True,accepted,False,23509.1,0
DEL-PO-RFQ-0008-V006,PO-RFQ-0008-V006,V006,2024-01-17,2024-01-29,12,False,accepted,False,19321.5,0
DEL-PO-RFQ-0009-V013,PO-RFQ-0009-V013,V013,2024-01-21,2024-01-21,0,True,accepted,False,3741.1,0
DEL-PO-RFQ-0010-V019,PO-RFQ-0010-V019,V019,2024-01-21,2024-01-21,0,True,accepted,False,25723.22,0
DEL-PO-RFQ-0011-V005,PO-RFQ-0011-V005,V005,2024-02-22,2024-02-22,0,True,accepted,False,2428.08,1
DEL-PO-RFQ-0012-V016,PO-RFQ-0012-V016,V016,2024-03-05,2024-03-26,21,False,accepted,False,34176.06,1
DEL-PO-RFQ-0013-V004,PO-RFQ-0013-V004,V004,2024-02-18,2024-02-18,0,True,accepted,False,10638.65,1
DEL-PO-RFQ-0014-V002,PO-RFQ-0014-V002,V002,2024-02-22,2024-02-22,0,True,accepted,False,50110.04,1
DEL-PO-RFQ-0015-V002,PO-RFQ-0015-V002,V002,2024-02-17,2024-02-17,0,True,accepted,False,35713.21,1
DEL-PO-RFQ-0016-V013,PO-RFQ-0016-V013,V013,2024-02-22,2024-02-22,0,True,accepted_with_note,False,93931.58,1
DEL-PO-RFQ-0017-V008,PO-RFQ-0017-V008,V008,2024-02-25,2024-02-25,0,True,accepted,False,43087.28,1
DEL-PO-RFQ-0018-V009,PO-RFQ-0018-V009,V009,2024-02-17,2024-02-17,0,True,accepted,False,31585.79,1
DEL-PO-RFQ-0019-V002,PO-RFQ-0019-V002,V002,2024-02-20,2024-03-12,21,False,accepted,False,27836.98,1
DEL-PO-RFQ-0020-V013,PO-RFQ-0020-V013,V013,2024-03-06,2024-03-06,0,True,accepted,False,52590.91,1
DEL-PO-RFQ-0021-V010,PO-RFQ-0021-V010,V010,2024-03-20,2024-03-20,0,True,accepted,False,4161.74,2
DEL-PO-RFQ-0022-V017,PO-RFQ-0022-V017,V017,2024-03-20,2024-03-20,0,True,accepted,False,94797.93,2
DEL-PO-RFQ-0023-V019,PO-RFQ-0023-V019,V019,2024-03-17,2024-03-17,0,True,accepted,False,43038.5,2
DEL-PO-RFQ-0024-V010,PO-RFQ-0024-V010,V010,2024-03-27,2024-03-27,0,True,accepted,True,45557.84,2
DEL-PO-RFQ-0025-V013,PO-RFQ-0025-V013,V013,2024-03-29,2024-04-03,5,False,accepted,False,34585.51,2
DEL-PO-RFQ-0026-V013,PO-RFQ-0026-V013,V013,2024-03-29,2024-03-29,0,True,accepted_with_note,False,226762.95,2
DEL-PO-RFQ-0027-V010,PO-RFQ-0027-V010,V010,2024-03-30,2024-03-30,0,True,accepted,False,104924.86,2
DEL-PO-RFQ-0028-V013,PO-RFQ-0028-V013,V013,2024-03-26,2024-03-26,0,True,accepted,False,110516.87,2
DEL-PO-RFQ-0029-V015,PO-RFQ-0029-V015,V015,2024-03-26,2024-03-26,0,True,accepted,False,60043.32,2
DEL-PO-RFQ-0030-V004,PO-RFQ-0030-V004,V004,2024-03-26,2024-03-26,0,True,rejected,False,24429.21,2
DEL-PO-RFQ-0031-V016,PO-RFQ-0031-V016,V016,2024-04-19,2024-04-19,0,True,accepted,False,3528.51,3
DEL-PO-RFQ-0032-V017,PO-RFQ-0032-V017,V017,2024-04-19,2024-04-19,0,True,accepted,False,29282.23,3
DEL-PO-RFQ-0033-V013,PO-RFQ-0033-V013,V013,2024-04-24,2024-04-27,3,False,accepted,False,10019.45,3
DEL-PO-RFQ-0034-V009,PO-RFQ-0034-V009,V009,2024-04-24,2024-04-24,0,True,accepted,False,13877.87,3
DEL-PO-RFQ-0035-V004,PO-RFQ-0035-V004,V004,2024-04-23,2024-04-23,0,True,accepted,False,108761.4,3
DEL-PO-RFQ-0036-V006,PO-RFQ-0036-V006,V006,2024-04-19,2024-04-19,0,True,accepted,False,13470.0,3
DEL-PO-RFQ-0037-V011,PO-RFQ-0037-V011,V011,2024-05-06,2024-05-06,0,True,rejected,False,88914.6,3
DEL-PO-RFQ-0038-V013,PO-RFQ-0038-V013,V013,2024-04-21,2024-04-21,0,True,accepted,False,8882.59,3
DEL-PO-RFQ-0039-V019,PO-RFQ-0039-V019,V019,2024-04-22,2024-04-22,0,True,accepted,False,37927.43,3
DEL-PO-RFQ-0040-V002,PO-RFQ-0040-V002,V002,2024-04-18,2024-04-18,0,True,accepted,False,111051.01,3
DEL-PO-RFQ-0041-V007,PO-RFQ-0041-V007,V007,2024-05-22,2024-05-22,0,True,accepted,True,33316.08,4
DEL-PO-RFQ-0042-V001,PO-RFQ-0042-V001,V001,2024-05-19,2024-05-19,0,True,accepted,False,26582.0,4
DEL-PO-RFQ-0043-V001,PO-RFQ-0043-V001,V001,2024-05-24,2024-05-24,0,True,rejected,True,132670.45,4
DEL-PO-RFQ-0044-V013,PO-RFQ-0044-V013,V013,2024-05-23,2024-05-23,0,True,accepted,False,101414.23,4
DEL-PO-RFQ-0045-V001,PO-RFQ-0045-V001,V001,2024-05-14,2024-05-14,0,True,accepted,False,29186.66,4
DEL-PO-RFQ-0046-V013,PO-RFQ-0046-V013,V013,2024-05-19,2024-05-19,0,True,accepted,False,13244.19,4
DEL-PO-RFQ-0047-V009,PO-RFQ-0047-V009,V009,2024-05-28,2024-05-28,0,True,accepted_with_note,False,27995.57,4
DEL-PO-RFQ-0048-V009,PO-RFQ-0048-V009,V009,2024-05-25,2024-05-25,0,True,accepted,False,63597.52,4
DEL-PO-RFQ-0049-V013,PO-RFQ-0049-V013,V013,2024-05-25,2024-05-25,0,True,rejected,False,17769.28,4
DEL-PO-RFQ-0050-V010,PO-RFQ-0050-V010,V010,2024-05-24,2024-05-24,0,True,accepted,False,25164.16,4
DEL-PO-RFQ-0051-V024,PO-RFQ-0051-V024,V024,2024-05-28,2024-05-28,0,True,accepted,False,125828.27,4
DEL-PO-RFQ-0052-V016,PO-RFQ-0052-V016,V016,2024-06-25,2024-06-27,2,False,accepted,False,75541.7,5
DEL-PO-RFQ-0053-V007,PO-RFQ-0053-V007,V007,2024-06-17,2024-06-17,0,True,rejected,False,36588.06,5
DEL-PO-RFQ-0054-V006,PO-RFQ-0054-V006,V006,2024-06-19,2024-06-19,0,True,accepted,True,33331.53,5
DEL-PO-RFQ-0055-V006,PO-RFQ-0055-V006,V006,2024-06-21,2024-06-21,0,True,accepted,False,166084.75,5
DEL-PO-RFQ-0056-V016,PO-RFQ-0056-V016,V016,2024-06-15,2024-06-26,11,False,rejected,False,160211.62,5
DEL-PO-RFQ-0057-V004,PO-RFQ-0057-V004,V004,2024-06-14,2024-06-14,0,True,accepted,False,33479.34,5
DEL-PO-RFQ-0058-V015,PO-RFQ-0058-V015,V015,2024-06-18,2024-06-18,0,True,accepted,False,46310.11,5
DEL-PO-RFQ-0059-V002,PO-RFQ-0059-V002,V002,2024-06-15,2024-06-15,0,True,accepted,False,51340.21,5
DEL-PO-RFQ-0060-V022,PO-RFQ-0060-V022,V022,2024-06-23,2024-06-23,0,True,accepted,False,24601.86,5
DEL-PO-RFQ-0061-V020,PO-RFQ-0061-V020,V020,2024-06-30,2024-06-30,0,True,accepted,False,2727.12,5
