payment_id,po_id,vendor_id,po_value_usd,payment_terms,due_date,actual_payment_date,days_late,days_early,payment_status,meridian_stress_index,month_index
PAY-PO-RFQ-0001-V006,PO-RFQ-0001-V006,V006,173141.4,Net30,2024-02-06,2024-02-13,7,0,slightly_late,0.0,0
PAY-PO-RFQ-0002-V016,PO-RFQ-0002-V016,V016,78839.68,Net60,2024-03-09,2024-03-05,0,4,on_time,0.0,0
PAY-PO-RFQ-0003-V012,PO-RFQ-0003-V012,V012,18018.0,LC at sight,2024-01-05,2024-01-06,1,0,slightly_late,0.0,0
PAY-PO-RFQ-0004-V006,PO-RFQ-0004-V006,V006,92821.16,2/10 Net30,2024-02-09,2024-02-05,0,4,on_time,0.0,0
PAY-PO-RFQ-0005-V016,PO-RFQ-0005-V016,V016,2116.33,Net60,2024-03-10,2024-03-06,0,4,on_time,0.0,0
PAY-PO-RFQ-0006-V013,PO-RFQ-0006-V013,V013,36295.6,Net30,2024-02-08,2024-02-12,4,0,slightly_late,0.0,0
PAY-PO-RFQ-0007-V013,PO-RFQ-0007-V013,V013,24132.6,2/10 Net30,2024-02-08,2024-02-07,0,1,on_time,0.0,0
PAY-PO-RFQ-0008-V006,PO-RFQ-0008-V006,V006,19374.48,Net30,2024-02-06,2024-02-15,9,0,late,0.0,0
PAY-PO-RFQ-0009-V013,PO-RFQ-0009-V013,V013,3703.26,2/10 Net30,2024-02-06,2024-02-06,0,0,on_time,0.0,0
PAY-PO-RFQ-0010-V019,PO-RFQ-0010-V019,V019,26320.95,2/10 Net30,2024-02-05,2024-02-04,0,1,on_time,0.0,0
PAY-PO-RFQ-0011-V005,PO-RFQ-0011-V005,V005,2442.9,Net60,2024-04-05,2024-04-03,0,2,on_time,0.0,1
PAY-PO-RFQ-0012-V016,PO-RFQ-0012-V016,V016,34539.98,Net45,2024-03-25,2024-03-23,0,2,on_time,0.0,1
PAY-PO-RFQ-0013-V004,PO-RFQ-0013-V004,V004,10527.16,Net30,2024-03-06,2024-03-01,0,5,on_time,0.0,1
PAY-PO-RFQ-0014-V002,PO-RFQ-0014-V002,V002,49679.16,2/10 Net30,2024-03-07,2024-03-03,0,4,on_time,0.0,1
PAY-PO-RFQ-0015-V002,PO-RFQ-0015-V002,V002,36392.38,2/10 Net30,2024-03-08,2024-03-05,0,3,on_time,0.0,1
PAY-PO-RFQ-0016-V013,PO-RFQ-0016-V013,V013,93136.02,2/10 Net30,2024-03-10,2024-03-10,0,0,on_time,0.0,1
PAY-PO-RFQ-0017-V008,PO-RFQ-0017-V008,V008,44324.0,Net60,2024-04-10,2024-04-09,0,1,on_time,0.0,1
PAY-PO-RFQ-0018-V009,PO-RFQ-0018-V009,V009,30985.2,2/10 Net30,2024-03-07,2024-03-07,0,0,on_time,0.0,1
PAY-PO-RFQ-0019-V002,PO-RFQ-0019-V002,V002,28686.92,2/10 Net30,2024-03-06,2024-03-03,0,3,on_time,0.0,1
PAY-PO-RFQ-0020-V013,PO-RFQ-0020-V013,V013,53950.52,Net45,2024-03-19,2024-03-18,0,1,on_time,0.0,1
PAY-PO-RFQ-0021-V010,PO-RFQ-0021-V010,V010,4188.25,Net30,2024-04-05,2024-04-04,0,1,on_time,0.0,2
PAY-PO-RFQ-0022-V017,PO-RFQ-0022-V017,V017,97130.26,Net60,2024-05-07,2024-05-04,0,3,on_time,0.0,2
PAY-PO-RFQ-0023-V019,PO-RFQ-0023-V019,V019,43813.92,Net60,2024-05-03,2024-05-06,3,0,slightly_late,0.0,2
PAY-PO-RFQ-0024-V010,PO-RFQ-0024-V010,V010,46710.24,2/10 Net30,2024-04-10,2024-05-09,29,0,late,0.0,2
PAY-PO-RFQ-0025-V013,PO-RFQ-0025-V013,V013,33908.56,Net30,2024-04-09,2024-04-05,0,4,on_time,0.0,2
PAY-PO-RFQ-0026-V013,PO-RFQ-0026-V013,V013,222587.98,Net60,2024-05-07,2024-05-12,5,0,slightly_late,0.0,2
PAY-PO-RFQ-0027-V010,PO-RFQ-0027-V010,V010,105947.94,Net30,2024-04-10,2024-04-07,0,3,on_time,0.0,2
PAY-PO-RFQ-0028-V013,PO-RFQ-0028-V013,V013,113390.9,Net30,2024-04-10,2024-04-06,0,4,on_time,0.0,2
PAY-PO-RFQ-0029-V015,PO-RFQ-0029-V015,V015,61582.5,Net60,2024-05-08,2024-05-05,0,3,on_time,0.0,2
PAY-PO-RFQ-0030-V004,PO-RFQ-0030-V004,V004,24778.2,Net60,2024-05-06,2024-05-02,0,4,on_time,0.0,2
PAY-PO-RFQ-0031-V016,PO-RFQ-0031-V016,V016,3622.92,Net30,2024-05-05,2024-05-02,0,3,on_time,0.0,3
PAY-PO-RFQ-0032-V017,PO-RFQ-0032-V017,V017,29057.27,Net45,2024-05-19,2024-05-18,0,1,on_time,0.0,3
PAY-PO-RFQ-0033-V013,PO-RFQ-0033-V013,V013,10030.8,Net30,2024-05-07,2024-05-05,0,2,on_time,0.0,3
PAY-PO-RFQ-0034-V009,PO-RFQ-0034-V009,V009,14090.96,LC at sight,2024-04-03,2024-04-03,0,0,on_time,0.0,3
PAY-PO-RFQ-0035-V004,PO-RFQ-0035-V004,V004,107054.74,LC at sight,2024-04-06,2024-04-02,0,4,on_time,0.0,3
PAY-PO-RFQ-0036-V006,PO-RFQ-0036-V006,V006,13849.44,Net30,2024-05-08,2024-05-06,0,2,on_time,0.0,3
PAY-PO-RFQ-0037-V011,PO-RFQ-0037-V011,V011,91162.54,2/10 Net30,2024-05-10,2024-05-11,1,0,slightly_late,0.0,3
PAY-PO-RFQ-0038-V013,PO-RFQ-0038-V013,V013,8908.44,LC at sight,2024-04-08,2024-04-08,0,0,on_time,0.0,3
PAY-PO-RFQ-0039-V019,PO-RFQ-0039-V019,V019,37562.87,Net60,2024-06-09,2024-06-16,7,0,slightly_late,0.0,3
PAY-PO-RFQ-0040-V002,PO-RFQ-0040-V002,V002,111223.32,Net60,2024-06-07,2024-06-06,0,1,on_time,0.0,3
PAY-PO-RFQ-0041-V007,PO-RFQ-0041-V007,V007,33964.08,Net30,2024-06-07,2024-06-04,0,3,on_time,0.0,4
PAY-PO-RFQ-0042-V001,PO-RFQ-0042-V001,V001,26235.92,2/10 Net30,2024-06-03,2024-06-14,11,0,late,0.0,4
PAY-PO-RFQ-0043-V001,PO-RFQ-0043-V001,V001,133183.37,2/10 Net30,2024-06-09,2024-06-05,0,4,on_time,0.0,4
PAY-PO-RFQ-0044-V013,PO-RFQ-0044-V013,V013,103549.68,LC at sight,2024-05-03,2024-05-07,4,0,slightly_late,0.0,4
PAY-PO-RFQ-0045-V001,PO-RFQ-0045-V001,V001,29089.38,Net45,2024-06-18,2024-06-14,0,4,on_time,0.0,4
PAY-PO-RFQ-0046-V013,PO-RFQ-0046-V013,V013,13374.92,Net60,2024-07-08,2024-07-05,0,3,on_time,0.0,4
PAY-PO-RFQ-0047-V009,PO-RFQ-0047-V009,V009,28495.62,Net60,2024-07-09,2024-07-12,3,0,slightly_late,0.0,4
PAY-PO-RFQ-0048-V009,PO-RFQ-0048-V009,V009,63444.18,Net45,2024-06-19,2024-06-14,0,5,on_time,0.0,4
PAY-PO-RFQ-0049-V013,PO-RFQ-0049-V013,V013,18140.1,Net30,2024-06-05,2024-06-12,7,0,slightly_late,0.0,4
PAY-PO-RFQ-0050-V010,PO-RFQ-0050-V010,V010,25112.9,Net60,2024-07-08,2024-07-31,23,0,late,0.0,4
PAY-PO-RFQ-0051-V024,PO-RFQ-0051-V024,V024,129451.58,Net45,2024-06-23,2024-06-18,0,5,on_time,0.0,4
PAY-PO-RFQ-0052-V016,PO-RFQ-0052-V016,V016,77347.92,Net30,2024-07-02,2024-07-01,0,1,on_time,0.0,5
PAY-PO-RFQ-0053-V007,PO-RFQ-0053-V007,V007,36493.45,Net30,2024-07-06,2024-07-04,0,2,on_time,0.0,5
