forecast_id,vendor_id,forecast_date,forecast_quarter,horizon_start,horizon_end,forecast_value_usd,actual_value_usd,accuracy_pct,meridian_stress,month_index
FC-0001,V001,2024-01-16,2024-Q1,2024-03-31,2024-06-29,88648.16,86875.2,98.0,0.0,0
FC-0002,V002,2024-01-13,2024-Q1,2024-03-31,2024-06-29,75640.47,61022.61,80.7,0.0,0
FC-0003,V003,2024-01-13,2024-Q1,2024-03-31,2024-06-29,67541.88,55025.74,81.5,0.0,0
FC-0004,V004,2024-01-08,2024-Q1,2024-03-31,2024-06-29,84478.62,68749.02,81.4,0.0,0
FC-0005,V007,2024-01-15,2024-Q1,2024-03-31,2024-06-29,86567.97,81739.76,94.4,0.0,0
FC-0006,V009,2024-01-14,2024-Q1,2024-03-31,2024-06-29,71583.03,49459.07,69.1,0.0,0
FC-0007,V012,2024-01-08,2024-Q1,2024-03-31,2024-06-29,83762.56,68283.91,81.5,0.0,0
FC-0008,V013,2024-01-08,2024-Q1,2024-03-31,2024-06-29,65235.2,45024.22,69.0,0.0,0
FC-0009,V015,2024-01-15,2024-Q1,2024-03-31,2024-06-29,60792.23,38275.69,63.0,0.0,0
FC-0010,V019,2024-01-06,2024-Q1,2024-03-31,2024-06-29,82095.34,62495.96,76.1,0.0,0
FC-0011,V001,2024-04-14,2024-Q2,2024-06-30,2024-09-28,69255.94,59073.45,85.3,0.0,3
FC-0012,V002,2024-04-14,2024-Q2,2024-06-30,2024-09-28,57158.82,43222.22,75.6,0.0,3
FC-0013,V003,2024-04-16,2024-Q2,2024-06-30,2024-09-28,64227.52,54700.09,85.2,0.0,3
FC-0014,V004,2024-04-16,2024-Q2,2024-06-30,2024-09-28,87316.02,72342.9,82.9,0.0,3
FC-0015,V007,2024-04-11,2024-Q2,2024-06-30,2024-09-28,59109.65,47812.3,80.9,0.0,3
FC-0016,V009,2024-04-10,2024-Q2,2024-06-30,2024-09-28,90767.48,83614.74,92.1,0.0,3
FC-0017,V012,2024-04-16,2024-Q2,2024-06-30,2024-09-28,91212.98,70445.34,77.2,0.0,3
FC-0018,V013,2024-04-11,2024-Q2,2024-06-30,2024-09-28,85912.88,73064.82,85.0,0.0,3
FC-0019,V015,2024-04-12,2024-Q2,2024-06-30,2024-09-28,71643.58,48413.37,67.6,0.0,3
FC-0020,V019,2024-04-15,2024-Q2,2024-06-30,2024-09-28,69774.83,57766.75,82.8,0.0,3
FC-0021,V001,2024-07-13,2024-Q3,2024-09-29,2024-12-28,101664.46,81272.88,79.9,0.0,6
FC-0022,V002,2024-07-06,2024-Q3,2024-09-29,2024-12-28,106765.28,77449.7,72.5,0.0,6
FC-0023,V003,2024-07-08,2024-Q3,2024-09-29,2024-12-28,87435.89,74484.88,85.2,0.0,6
FC-0024,V004,2024-07-14,2024-Q3,2024-09-29,2024-12-28,82341.36,62652.22,76.1,0.0,6
FC-0025,V007,2024-07-11,2024-Q3,2024-09-29,2024-12-28,115583.09,110795.03,95.9,0.0,6
FC-0026,V009,2024-07-10,2024-Q3,2024-09-29,2024-12-28,86040.96,53800.95,62.5,0.0,6
FC-0027,V012,2024-07-14,2024-Q3,2024-09-29,2024-12-28,93016.17,78120.62,84.0,0.0,6
FC-0028,V013,2024-07-15,2024-Q3,2024-09-29,2024-12-28,93060.08,76627.14,82.3,0.0,6
FC-0029,V015,2024-07-08,2024-Q3,2024-09-29,2024-12-28,91043.34,72609.88,79.8,0.0,6
FC-0030,V019,2024-07-15,2024-Q3,2024-09-29,2024-12-28,88151.6,68552.07,77.8,0.0,6
FC-0031,V020,2024-07-16,2024-Q3,2024-09-29,2024-12-28,85815.89,70840.18,82.5,0.0,6
FC-0032,V001,2024-10-08,2024-Q4,2024-12-30,2025-03-30,120446.83,103581.3,86.0,0.03,9
FC-0033,V002,2024-10-15,2024-Q4,2024-12-30,2025-03-30,129450.18,83006.71,64.1,0.03,9
FC-0034,V003,2024-10-12,2024-Q4,2024-12-30,2025-03-30,128543.61,91332.94,71.1,0.03,9
