health_score_id,vendor_id,vendor_name,month,month_index,relationship_arc,payment_reliability_score,win_rate_score,admin_burden_score,forecast_accuracy_score,composite_health_score,trend_3mo,thin_data_flag,alert_flag,alert_reason
HS-V001-202401,V001,Kovacs Precision GmbH,2024-01-01,0,declining,93.4,45.0,100.0,100.0,88.8,unknown,False,False,
HS-V002-202401,V002,Tanaka Electrical KK,2024-01-01,0,stable,93.4,45.0,75.8,100.0,82.8,unknown,False,False,
HS-V003-202401,V003,Patel Alloys Pvt Ltd,2024-01-01,0,improving,93.4,45.0,65.0,100.0,80.0,unknown,False,False,
HS-V004-202401,V004,Strömberg Hydraulics AB,2024-01-01,0,stable,93.4,45.0,100.0,100.0,88.8,unknown,False,False,
HS-V005-202401,V005,Cerro Negro Metals SA,2024-01-01,0,stable,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V006-202401,V006,Bright Spark Electronics Ltd,2024-01-01,0,stable,86.4,100.0,67.5,,83.3,unknown,False,False,
HS-V007-202401,V007,Nakamura Tooling Co.,2024-01-01,0,stable,93.4,45.0,65.0,100.0,80.0,unknown,False,False,
HS-V008-202401,V008,Delta Composites Inc.,2024-01-01,0,stable,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V009-202401,V009,Fischer & Söhne KG,2024-01-01,0,stable,93.4,45.0,100.0,72.7,84.7,unknown,False,False,
HS-V010-202401,V010,Adriatic Fastenings d.o.o.,2024-01-01,0,stable,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V011-202401,V011,Solaris Power Components,2024-01-01,0,stable,93.4,45.0,76.0,,79.8,unknown,False,False,
HS-V012-202401,V012,Indra Copper Works,2024-01-01,0,improving,90.4,100.0,100.0,100.0,95.7,unknown,False,False,
HS-V013-202401,V013,Vantage Sensors GmbH,2024-01-01,0,stable,98.4,100.0,100.0,72.5,95.2,unknown,False,False,
HS-V014-202401,V014,Coastal Alloys Pty Ltd,2024-01-01,0,stable,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V015-202401,V015,Nordic Steel AS,2024-01-01,0,stable,93.4,45.0,100.0,57.5,82.4,unknown,False,False,
HS-V016-202401,V016,Precision Arc Systems,2024-01-01,0,stable,100.0,100.0,70.8,,91.4,unknown,False,False,
HS-V017-202401,V017,Türk Makina A.Ş.,2024-01-01,0,stable,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V018-202401,V018,Guangzhou Mech & Elec Co.,2024-01-01,0,collapse,93.4,45.0,84.4,,82.2,unknown,False,False,
HS-V019-202401,V019,Emerald Isle Castings Ltd,2024-01-01,0,stable,97.4,100.0,45.0,90.2,83.6,unknown,False,False,
HS-V020-202401,V020,Rajasthan Rare Earths Ltd,2024-01-01,0,improving,93.4,45.0,100.0,,86.8,unknown,False,False,
HS-V001-202402,V001,Kovacs Precision GmbH,2024-02-01,1,declining,93.4,45.0,100.0,100.0,88.8,stable,False,False,
HS-V002-202402,V002,Tanaka Electrical KK,2024-02-01,1,stable,100.0,100.0,87.9,100.0,97.0,improving,False,False,
HS-V003-202402,V003,Patel Alloys Pvt Ltd,2024-02-01,1,improving,93.4,45.0,82.5,100.0,84.4,improving,False,False,
HS-V004-202402,V004,Strömberg Hydraulics AB,2024-02-01,1,stable,97.4,100.0,88.3,100.0,95.9,improving,False,False,
HS-V005-202402,V005,Cerro Negro Metals SA,2024-02-01,1,stable,97.4,100.0,88.3,,95.2,improving,False,False,
HS-V006-202402,V006,Bright Spark Electronics Ltd,2024-02-01,1,stable,87.5,100.0,68.5,,84.1,stable,False,False,
HS-V007-202402,V007,Nakamura Tooling Co.,2024-02-01,1,stable,93.4,45.0,82.5,100.0,84.4,improving,False,False,
HS-V008-202402,V008,Delta Composites Inc.,2024-02-01,1,stable,97.4,100.0,100.0,,98.6,improving,False,False,
HS-V009-202402,V009,Fischer & Söhne KG,2024-02-01,1,stable,97.4,100.0,100.0,72.7,94.8,improving,False,False,
HS-V010-202402,V010,Adriatic Fastenings d.o.o.,2024-02-01,1,stable,93.4,45.0,82.5,,81.7,declining,False,False,
HS-V011-202402,V011,Solaris Power Components,2024-02-01,1,stable,93.4,45.0,70.0,,78.0,stable,False,False,
HS-V012-202402,V012,Indra Copper Works,2024-02-01,1,improving,90.9,100.0,81.7,100.0,91.3,declining,False,False,
HS-V013-202402,V013,Vantage Sensors GmbH,2024-02-01,1,stable,100.0,100.0,100.0,72.5,95.9,stable,False,False,
HS-V014-202402,V014,Coastal Alloys Pty Ltd,2024-02-01,1,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202402,V015,Nordic Steel AS,2024-02-01,1,stable,93.4,45.0,81.7,57.5,77.8,declining,False,True,
HS-V016-202402,V016,Precision Arc Systems,2024-02-01,1,stable,100.0,100.0,68.2,,90.6,stable,False,False,
HS-V017-202402,V017,Türk Makina A.Ş.,2024-02-01,1,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V018-202402,V018,Guangzhou Mech & Elec Co.,2024-02-01,1,collapse,93.4,45.0,91.1,,84.2,stable,False,False,
HS-V019-202402,V019,Emerald Isle Castings Ltd,2024-02-01,1,stable,96.8,100.0,70.0,90.2,89.6,improving,False,False,
HS-V020-202402,V020,Rajasthan Rare Earths Ltd,2024-02-01,1,improving,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V001-202403,V001,Kovacs Precision GmbH,2024-03-01,2,declining,93.4,45.0,100.0,100.0,88.8,stable,False,False,
HS-V002-202403,V002,Tanaka Electrical KK,2024-03-01,2,stable,100.0,93.5,89.6,100.0,96.4,improving,False,False,
HS-V003-202403,V003,Patel Alloys Pvt Ltd,2024-03-01,2,improving,93.4,45.0,88.3,100.0,85.9,improving,False,False,
HS-V004-202403,V004,Strömberg Hydraulics AB,2024-03-01,2,stable,100.0,100.0,95.6,100.0,98.9,improving,False,False,
HS-V005-202403,V005,Cerro Negro Metals SA,2024-03-01,2,stable,96.8,100.0,77.5,,91.7,improving,False,False,
HS-V006-202403,V006,Bright Spark Electronics Ltd,2024-03-01,2,stable,88.5,93.5,69.5,,83.8,stable,False,False,
HS-V007-202403,V007,Nakamura Tooling Co.,2024-03-01,2,stable,93.4,45.0,95.6,100.0,87.7,improving,False,False,
HS-V008-202403,V008,Delta Composites Inc.,2024-03-01,2,stable,96.8,100.0,100.0,,98.3,improving,False,False,
HS-V009-202403,V009,Fischer & Söhne KG,2024-03-01,2,stable,96.8,75.6,100.0,72.7,90.8,improving,False,False,
HS-V010-202403,V010,Adriatic Fastenings d.o.o.,2024-03-01,2,stable,93.4,100.0,71.0,,88.0,stable,False,False,
HS-V011-202403,V011,Solaris Power Components,2024-03-01,2,stable,93.4,45.0,71.7,,78.5,stable,False,False,
HS-V012-202403,V012,Indra Copper Works,2024-03-01,2,improving,91.3,100.0,86.2,100.0,92.7,stable,False,False,
HS-V013-202403,V013,Vantage Sensors GmbH,2024-03-01,2,stable,100.0,100.0,97.7,72.5,95.3,stable,False,False,
HS-V014-202403,V014,Coastal Alloys Pty Ltd,2024-03-01,2,stable,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V015-202403,V015,Nordic Steel AS,2024-03-01,2,stable,97.4,100.0,86.2,57.5,89.0,stable,False,False,
HS-V016-202403,V016,Precision Arc Systems,2024-03-01,2,stable,100.0,93.5,66.9,,89.1,stable,False,False,
HS-V017-202403,V017,Türk Makina A.Ş.,2024-03-01,2,stable,97.4,75.6,95.6,,93.0,stable,False,False,
HS-V018-202403,V018,Guangzhou Mech & Elec Co.,2024-03-01,2,collapse,93.4,45.0,92.2,,84.5,stable,False,False,
HS-V019-202403,V019,Emerald Isle Castings Ltd,2024-03-01,2,stable,93.2,100.0,87.1,90.2,92.3,improving,False,False,
HS-V020-202403,V020,Rajasthan Rare Earths Ltd,2024-03-01,2,improving,93.4,45.0,100.0,,86.8,stable,False,False,
HS-V001-202404,V001,Kovacs Precision GmbH,2024-04-01,3,declining,93.4,45.0,96.1,100.0,87.8,stable,False,False,
HS-V002-202404,V002,Tanaka Electrical KK,2024-04-01,3,stable,100.0,92.8,100.0,95.4,98.2,improving,False,False,
HS-V003-202404,V003,Patel Alloys Pvt Ltd,2024-04-01,3,improving,93.4,45.0,100.0,100.0,88.8,improving,False,False,
HS-V004-202404,V004,Strömberg Hydraulics AB,2024-04-01,3,stable,100.0,100.0,93.6,100.0,98.4,improving,False,False,
HS-V005-202404,V005,Cerro Negro Metals SA,2024-04-01,3,stable,96.2,100.0,70.0,,89.2,improving,False,False,
HS-V006-202404,V006,Bright Spark Electronics Ltd,2024-04-01,3,stable,93.6,92.8,63.2,,84.5,stable,False,False,
HS-V007-202404,V007,Nakamura Tooling Co.,2024-04-01,3,stable,93.4,45.0,91.8,100.0,86.8,improving,False,False,
HS-V008-202404,V008,Delta Composites Inc.,2024-04-01,3,stable,96.2,100.0,100.0,,98.0,improving,False,False,
HS-V009-202404,V009,Fischer & Söhne KG,2024-04-01,3,stable,100.0,87.3,100.0,100.0,98.1,improving,False,False,
HS-V010-202404,V010,Adriatic Fastenings d.o.o.,2024-04-01,3,stable,93.4,100.0,70.0,,87.7,stable,False,False,
HS-V011-202404,V011,Solaris Power Components,2024-04-01,3,stable,90.4,57.0,68.3,,78.0,stable,False,False,
HS-V012-202404,V012,Indra Copper Works,2024-04-01,3,improving,91.8,100.0,81.7,98.4,91.5,declining,False,False,
HS-V013-202404,V013,Vantage Sensors GmbH,2024-04-01,3,stable,100.0,100.0,91.1,92.5,96.6,stable,False,False,
HS-V014-202404,V014,Coastal Alloys Pty Ltd,2024-04-01,3,stable,93.4,45.0,100.0,,86.8,stable,False,False,
