case_id,activity,timestamp,money_value,money_field_source,material_qty,resource_id
RFQ-0001,PO_Issued,2024-01-07T09:00:00,173141.4,PO-VALUE_USD,,V006
RFQ-0001,WO_Created,2024-01-21T08:00:00,242722.55,WO-BUDGET_CEILING,,Priya Nair
RFQ-0001,RFQ_Issued,2024-01-23T09:00:00,160927.3,RFQ-ESTIMATED_VALUE,,
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V018
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V011
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V006
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V016
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V002
RFQ-0001,Vendor_Invited,2024-01-23T10:00:00,,,,V013
RFQ-0001,Clarification_Round,2024-01-23T11:00:00,,,,V011
RFQ-0001,Clarification_Round,2024-01-23T11:00:00,,,,V006
RFQ-0001,Clarification_Round,2024-01-23T11:00:00,,,,V016
RFQ-0001,Bid_Submitted,2024-02-03T14:00:00,173141.4,BID-TOTAL_USD,,V006
RFQ-0001,Bid_Evaluated,2024-02-03T16:00:00,173141.4,EVAL-AWARDED_VALUE,,V006
RFQ-0001,Bid_Submitted,2024-02-05T14:00:00,160554.78,BID-TOTAL_USD,,V011
RFQ-0001,Delivery_Received,2024-02-06T11:00:00,169714.01,DELIVERY-INVOICE_VALUE,,V006
RFQ-0001,Bid_Submitted,2024-02-06T14:00:00,179010.6,BID-TOTAL_USD,,V018
RFQ-0001,Bid_Submitted,2024-02-06T14:00:00,178757.34,BID-TOTAL_USD,,V016
RFQ-0001,Payment_Made,2024-02-13T15:00:00,173141.4,PAY-PO_VALUE_USD,,V006
RFQ-0002,PO_Issued,2024-01-09T09:00:00,78839.68,PO-VALUE_USD,,V016
RFQ-0002,WO_Created,2024-01-21T08:00:00,108986.25,WO-BUDGET_CEILING,,Arjun Desai
RFQ-0002,RFQ_Issued,2024-01-23T09:00:00,94001.88,RFQ-ESTIMATED_VALUE,,
